Ticker,Company Name,2015,2014,2013,2012,2011,2010,2009,2008
FE,FirstEnergy Corp,13423.1,16418.8,13806.4,17464.7,18527,11285,14159.6,14808.9
FFIV,F5 Networks,6823.9,9481.6,6909,7633.5,8401.4,10508.1,4190.8,1806.2
FHN,First Horizon,,3180.7,2753.7,2414.1,2059.7,3102.5,2974.5,2169.8
FII,Federated Investors,,3455.2,3018.2,2113,1571.8,2713.1,2830.9,1734.5
FIS,Fidelity Nat. Info. Services,19779.5,17649.3,15628,10206.2,7962.9,8243.3,8730.9,3091.2
FISV,Fiserv Inc,20902.2,17054.1,15158.1,10542.6,8229.5,8602.5,7427.1,5670.1
FITB,Fifth Third Bancorp,15966.1,16794.1,17987.1,13408.7,11699.9,11689.3,7751.9,4769.2
FLIR,FLIR Systems,3877.4,4509.8,4237.5,3254.6,3885.1,4736.6,5002,4337.8
FLR,Fluor Corp.,6686.9,9011.7,12949.8,9537,8491.2,11689.9,8054.3,8146.4
FLS,Flowserve Corporation,5507,8038.1,10812.6,7066.2,5353.9,6564.1,5195,2843.6
FMC,FMC Corporation,5228.7,7603.1,10027.6,8056.4,6008.8,5711,4043.7,3243.4
FNM,Fannie Mae (FNMA),,11861.7,17331.8,,,,6741.8,
FOSL,"Fossil, Inc.",1759.2,5622.4,6561.7,5551.6,4932.6,4558.4,2245.2,1110.6
FOX,Twenty-First Century Fox Inc Class B,21743.7,,,,,,,
FOXA,Twenty-First Century Fox,31797.6,81871.7,79769.6,51675.4,39055.5,33142,31151.8,20634.3
FRE,Freddie Mac (FHLMC),,6695.1,9425.1,,,,953.1,
FRX,Forest Laboratories,,,16348,9412.7,8037.7,9150.1,9709.7,7682.1
FSLR,First Solar Inc,6659.7,4472.9,5437.1,2689.3,2919.2,11171.7,11537.2,11257.1
FTI,FMC Technologies Inc.,6716.5,11044.9,12379,10185,6258.2,10831.8,7225.3,3081.7
FTR,Frontier Communications,4681.5,6666.4,4642.6,4259.1,5118.4,3039,2431.4,2864.5
GAS,AGL Resources Inc.,7672.5,6517.9,5610.4,4707.7,4933,2798.4,2822.7,2407.1
GD,General Dynamics,43423.3,45712.4,33767.7,24499,23671,26400.8,26293.5,22270.7
GE,General Electric,293989.7,253766.2,283589.9,220107.4,189082.2,194874.8,161096.6,170459.4
GENZ,Genzyme Corp.,,,,,,18519.6,13021.8,17966.6
GGP,General Growth Properties,24012.7,24892.6,18287.7,18640.1,14048.3,14580.3,3611.1,346.9
GHC,Graham Holdings,,5008.7,4899.9,2712.8,2860.4,3601.3,4073.8,3654.7
GILD,Gilead Sciences,145833,141295.7,115234.5,55791.3,30824.6,29064.4,38932.3,46528.1
GIS,General Mills Inc.,34462.7,32197.9,31170.6,26135.4,26050.3,22628.5,23334.5,19917
GLW,Corning Inc.,21624.9,29212.8,24930.2,18551.4,19664.7,30158.5,29988.4,14752.4
GM,General Motors,52925.6,55856,61305,39392.6,31717,55295,,1953.5
GMCR,Keurig Green Mountain,13423,21457.5,11236.7,6146.3,6941.4,4652,3557.8,954.2
GME,GameStop Corp.,2934.9,3640.3,5679.7,2965.6,3301,3340.5,3481,3548.8
GNW,Genworth Financial Inc.,,4222,7684.2,3694.2,3215.4,6434.7,5545.6,1226
GOOG,Alphabet Inc. Class C,262196.1,178019,,,,,,
GOOGL,Alphabet Inc. Class A,226656.1,179474.5,376370.3,233421.3,209199.9,190843.2,197012.9,96834.7
GPC,Genuine Parts,12949,16317.3,12792.4,9844.8,9525.8,8093,6032.5,6036.5
GPS,Gap Inc.,9927,17728.3,17429.7,14371.5,8996.8,13018.3,14162.2,9292.7
GR,Goodrich Corp.,,,,,15498.5,11004.6,7991.9,4560.9
GRMN,Garmin Ltd.,7075,10133.6,9014,7970.4,7749.5,6023.2,6148.4,3841
GS,Goldman Sachs Group,76874.6,84421.9,80339.7,59946.1,44519.9,85970.6,86797.6,37312.4
GT,Goodyear Tire & Rubber,8785.2,7699.2,5908.9,3386.8,3465.1,2878.8,3415,1440.5
GWW,"W. W. Grainger, Inc.",12720.4,17187.7,17586.7,14060.3,13096.4,9581.8,6998.6,5895.7
HAL,Halliburton Co.,29131.9,33351.8,43086.8,32227,31783.7,37155.3,27141.2,16271.1
HAR,Harman Int'l Industries,6696.5,7322.8,5544.8,3029.1,2669.6,3225.5,2449.4,981
HAS,Hasbro Inc.,8394.7,6847.7,7209.3,4628.9,4102.1,6483.3,4395.3,4061.3
HBAN,Huntington Bancshares,8811,8536.5,8018.8,5385.6,4745.6,5931,2612.5,2804
HBI,Hanesbrands Inc,11531.3,11184,6988.7,3520,2131.7,2443.7,2300,1192.4
HCA,HCA Inc.,27570.6,30858.9,20973.5,13371.3,9637.6,,,
HCBK,Hudson City Bancorp,,5352.6,4983,4294.4,3297.3,6710.4,7228.8,8359.4
HCN,Welltower Inc,24074.5,24879.5,15511.9,15958.3,10484.8,7007.7,5468.4,4418.5
HCP,HCP Inc.,17783.2,20242.6,16596.8,20466.1,16929.5,13646.3,8965,7042.5
HD,Home Depot,167677.3,138332.3,115953.4,92476.8,64807.5,57457.1,49192.9,39029.4
HES,Hess Corporation,13870,21100.3,27001.1,18087.3,19310.6,25846.1,19797.4,17493.8
HET,Harrah's Entertainment,,,,,,,,
